unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID300,mase,3.6275845,3.3868172,3.071233,2.997352,3.0084937,3.7907403,3.688131,3.2971098,2.7740035,2.4500043,3.2440248,3.4611714,2.1553085
ID301,mase,0.76861215,0.65198845,0.5392978,0.6600674,0.67021036,0.72011316,0.70218956,0.6947264,0.629577,0.63360524,0.7361137,0.6179854,0.948039
ID302,mase,0.46478468,0.43049505,0.4954141,0.4296676,0.5404313,0.48759225,0.41491422,0.41794553,0.42927608,0.4518973,0.4837616,0.44570044,0.5023828
ID303,mase,1.8589021,1.5243726,1.7837623,1.5076993,2.4228885,1.4180858,1.7824825,2.1575284,2.2478156,2.7999709,1.7133601,1.7545755,0.7984488
ID304,mase,0.7415227,0.78643364,0.6692804,0.655812,0.5979421,0.74883604,0.71237594,0.64455986,0.59323424,0.8814922,0.77654135,0.771729,1.0807784
ID305,mase,1.5482227,1.3412179,1.6152536,1.9053738,2.1122448,1.1934987,2.3261454,2.0113235,2.5952518,2.811481,1.7494141,1.3944002,0.98071605
ID306,mase,1.3232075,1.334653,1.4107372,1.3110408,1.2023124,1.3384582,1.1215657,1.3686873,1.309537,1.3151367,1.4933652,1.3870757,1.8654578
ID307,mase,2.1346889,2.2438679,1.9282755,2.0379345,2.152943,2.3013783,1.6303456,2.3538673,2.6774278,2.6880653,2.2964137,2.7106586,1.532445
ID308,mase,2.173391,2.230776,2.0560656,2.007343,2.4252913,2.161756,2.29424,2.2465494,2.3145857,2.2280166,2.105157,2.1403267,1.947861
ID309,mase,1.0935255,1.1459717,0.84998834,0.99227726,1.3325626,1.0701964,1.2445937,0.97137624,1.0619184,1.1295809,0.9601338,1.1635973,1.0892391
ID31,mase,0.9315862,0.9167417,0.9894229,1.0783868,1.0212137,0.9637498,1.249251,0.97797394,1.0163525,0.95074004,0.84971446,0.79887533,1.2349371
ID310,mase,0.39559206,0.40306324,0.33860838,0.57092637,0.4599775,0.34447595,0.3618625,0.33176506,0.70873547,0.333956,0.41051134,0.3201043,1.0092764
ID311,mase,0.72194475,0.7897876,0.7097807,0.60081166,0.7438217,0.7719581,0.764518,0.73495847,0.6069655,0.75649965,0.7129647,0.6793617,0.84535724
ID312,mase,0.30980167,0.2802468,0.32493657,0.35166556,0.32251438,0.3137636,0.3826275,0.3153252,0.38156432,0.5567826,0.28419545,0.34304863,0.73686975
ID313,mase,1.252669,1.3963757,1.3859466,1.6889571,1.433969,1.0886141,1.4648311,1.1907554,1.4887546,1.5095267,1.2434528,1.2661195,1.5523163
ID314,mase,0.3135772,0.3131509,0.47201326,0.5336249,0.516295,0.44751644,0.27375528,0.36829814,0.5103619,0.34236497,0.50339526,0.4796134,1.1831284
ID315,mase,0.6415908,0.5966866,0.73266304,0.601287,0.4760049,0.61868554,0.5045115,0.7310309,0.5788554,0.7277526,0.65772676,0.63343894,1.4123303
ID316,mase,0.6883585,0.69678825,0.7427636,0.7377829,0.72756743,0.7563764,0.7097676,0.70194435,0.69516885,0.7787391,0.7230653,0.7055983,0.53884405
ID317,mase,0.5876706,0.5982761,0.6004997,0.59665877,0.58859545,0.65204465,0.6876035,0.60706174,0.5240961,0.6645448,0.66464406,0.6250834,0.6101888
ID318,mase,1.3879824,1.3296722,1.3118771,1.411383,1.411436,1.4473001,1.3603936,1.4319162,1.3350282,1.2501606,1.402755,1.3054123,1.5786444
ID319,mase,0.9644266,0.95553225,0.9340734,0.9630087,1.0050367,0.9878972,0.8024284,0.7543703,0.90095913,0.8899178,0.7530622,0.94203466,0.7206659
ID32,mase,0.8096642,0.85442764,0.73266226,0.62245727,0.8690362,0.8203779,0.77537304,0.6647113,0.7176845,0.84918284,0.8828877,0.76343584,1.0715846
ID320,mase,0.61279434,0.6218091,0.6061211,0.57688075,0.61662424,0.61856383,0.6174214,0.60815114,0.56463116,0.710309,0.6457446,0.6940247,0.80440205
ID321,mase,0.30334896,0.3218465,0.29404444,0.2959562,0.26169273,0.2883313,0.26136175,0.29646516,0.25826555,0.28522927,0.30006617,0.27909073,0.42527083
ID322,mase,0.69222444,0.70913494,0.7383056,0.6645809,0.57280976,0.69963855,0.62919897,0.72005326,0.5661853,0.55481553,0.68366593,0.6846998,1.1006299
ID323,mase,0.97659206,1.1010171,0.9850701,0.9567625,1.2205293,1.1456139,1.1996504,1.1307881,1.1775137,0.9962735,0.98125607,0.93070585,0.91041154
ID324,mase,1.3360472,1.2157714,1.4611818,1.0945486,1.3749484,1.3404444,0.9090907,1.5536479,1.0942956,1.2455281,1.2674574,1.4586471,2.2557106
ID325,mase,0.8367655,0.94774634,0.77631164,0.7292717,1.2173067,0.8457592,0.8542017,1.03657,0.8504259,0.90372205,0.84237057,0.9494928,1.1240071
ID326,mase,0.4228021,0.32438403,0.33165786,0.29065916,0.33070415,0.38474897,0.37610272,0.36040577,0.2602904,0.39366817,0.40597388,0.37282813,0.548713
ID327,mase,1.0667583,1.1652205,1.1073753,0.9760346,1.1262599,1.0658674,1.091993,1.136679,1.0254883,0.9947142,1.1554003,1.1695781,1.7160449
ID328,mase,0.6976755,0.853381,0.54092616,0.74409413,0.6020668,0.93408793,0.75944,0.7009516,0.62361646,0.6380001,0.6281028,1.0446614,0.70599484
ID329,mase,2.2722616,1.6674492,1.9603883,2.1229398,2.397159,1.9627364,1.9044477,2.1390193,2.6997678,4.0394797,2.2487774,2.3310602,1.9271574
ID33,mase,0.9925226,1.0005206,1.1439803,1.0496614,1.0621134,1.098082,1.0285654,0.9989575,1.0118613,0.9834376,1.0830117,0.95945364,0.88378173
ID330,mase,0.65827096,0.58773094,0.5216599,0.45305672,0.6655766,0.59501326,0.7232131,0.55717975,0.6716623,0.6836317,0.61186624,0.690766,0.5290483
ID331,mase,1.1630548,1.129033,1.1607947,1.1407846,1.1443994,1.2228804,1.3272678,1.0925627,1.1018348,1.1119374,1.1692547,1.1926763,1.1523294
ID332,mase,0.49316913,0.50092924,0.39866322,0.4767136,0.47548065,0.50768596,0.42451313,0.45357457,0.4812167,0.40286717,0.5029139,0.45857698,0.717236
ID333,mase,0.30077022,0.27977204,0.3388045,0.38199618,0.35415635,0.25826496,0.42474824,0.3355753,0.31723613,0.241356,0.3386258,0.23195717,0.3892922
ID334,mase,0.6999939,0.69053245,0.6851465,0.7197133,0.9033864,0.6611398,0.71781504,0.8750178,0.6639437,0.9850841,0.7031994,0.68945473,0.7283808
ID335,mase,2.742629,2.8043246,2.8020322,2.719113,2.554754,2.6348033,2.5072281,2.6113765,2.5934634,2.7589154,2.7485623,2.9618573,3.4432507
ID336,mase,1.7861458,2.0049412,2.161189,1.9372959,2.0019035,1.9581671,1.6466838,1.8708974,1.5580077,1.8094664,2.0151212,1.5106561,1.5908213
ID337,mase,2.1234815,1.974581,1.9187232,2.3027067,2.1753166,2.429827,2.5338016,2.0594144,2.097801,1.7243898,2.0041046,1.8008314,1.4611231
ID338,mase,1.1888655,1.0450035,1.0943302,1.2198173,0.98495024,1.1193842,1.1567256,1.041577,1.0660586,1.0107287,1.1362133,1.3711348,1.5584412
ID339,mase,0.8921485,0.88802385,0.89494425,0.90934527,0.78787816,0.8905057,0.8942502,0.9840628,0.9637566,0.876701,0.94877225,0.9946745,1.0616494
ID34,mase,1.7840333,1.7550493,1.9183784,1.7414178,1.6185877,1.8085237,1.9141352,1.7475364,1.9559132,1.810096,1.7447481,1.6739893,1.5139388
ID340,mase,1.0742731,1.2161243,1.2641605,1.227602,1.1816341,1.1669769,0.9787233,1.2419559,1.2086688,1.1139407,1.2351519,1.0581864,1.5025455
ID341,mase,0.57218105,0.5682193,0.5975096,0.48430666,0.54805523,0.5770359,0.6017818,0.6277283,0.56767106,0.59654105,0.6034171,0.5691822,0.7787036
ID342,mase,1.661096,1.7088354,1.6096779,1.2899481,1.8285233,1.7613485,2.115061,1.6136705,1.6799043,1.9815897,1.6161443,1.757787,1.8708245
ID343,mase,1.7210865,1.7365538,1.5202793,1.6685208,1.9298346,1.7121073,2.0169916,1.8278127,1.9441186,2.805786,1.640928,1.6621629,1.2975597
ID344,mase,1.016972,0.8151511,0.7416316,0.38195089,1.1500318,0.97300136,0.9905636,0.92714685,0.47685593,0.7109525,1.0007495,0.81156397,1.1230047
ID345,mase,0.86251056,0.938205,1.0449096,1.2076565,1.1720302,0.95220023,0.9234799,0.9418965,1.0350661,2.0150788,0.9239166,1.1388732,1.1580863
ID346,mase,0.69996744,0.6752778,0.7419339,0.94361293,0.8954841,0.6165151,0.73202723,0.7210414,0.9398096,1.1663846,0.6497486,0.9687345,0.6897458
ID347,mase,0.62615925,0.7046174,0.6124607,0.50343966,0.55248034,0.627224,0.48973656,0.55730945,0.54539645,0.47195128,0.50862277,0.4703436,0.55973196
ID348,mase,1.2724226,1.633519,1.4900974,1.5245814,1.3844784,1.6264514,2.0147314,1.7154869,1.5807742,1.3410944,1.4511752,1.379568,1.2073541
ID349,mase,0.4452827,0.43337378,0.45699507,0.45288453,0.43840244,0.3870881,0.3941671,0.46260363,0.42324275,0.43362716,0.4323199,0.4703727,0.8123657
ID35,mase,0.8349417,0.84217703,1.0160427,1.0087667,0.9398404,0.8549042,0.87474674,0.8887863,1.0965555,0.8279902,0.8186167,0.88323385,0.74744374
ID350,mase,1.2945129,1.404093,1.2293373,1.3816583,1.4154705,1.4965733,1.7147888,1.4742844,1.563061,1.5146874,1.2401692,1.3347678,2.3337057
ID351,mase,1.0321184,1.0465975,0.8136531,0.87775934,0.9349629,0.97149295,1.0185776,1.0546701,1.0199071,0.9513219,1.0149125,1.0525968,1.5858396
ID352,mase,1.7221769,1.8698525,1.9700316,2.0199113,1.9880084,1.4600279,1.8310848,1.8713671,2.0209012,2.2019699,1.697777,1.7016461,1.7274662
ID353,mase,1.4119455,1.7501994,1.3457841,0.9187283,1.5262572,1.6191171,1.5140864,1.4482498,0.8924448,1.1495985,1.7429084,1.4319477,1.7115693
ID354,mase,0.808874,0.65513486,0.6043002,0.88867474,0.72686493,1.1886101,0.8037219,0.95206225,0.9230466,0.46345606,0.8886213,0.7940203,1.9439113
ID355,mase,0.666422,0.8917949,0.814788,1.1464593,0.83006006,0.7772573,0.6413299,0.77315867,0.97520626,0.9195346,0.60604286,0.5010276,1.4489591
ID356,mase,1.35914,1.6760443,0.86684304,2.135563,1.6569197,1.0137824,1.2882322,1.7879438,2.2118905,1.7297632,1.5441775,1.1705468,1.1716446
ID357,mase,0.4547772,0.5716789,0.68704015,1.0312903,0.8043097,0.6480049,0.7198263,0.51736736,1.195071,1.3097643,0.5157187,0.5280347,0.9570586
ID358,mase,1.6315404,1.757862,1.5381589,1.6775299,1.7761337,1.5423392,1.7526468,1.4732172,1.7891226,1.7120221,1.5390657,1.5402027,1.127895
