unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(10),qgtse(10),qgts(5),qgtse(5),qgts(25),qgtse(25),qgts(50),qgtse(50),qgts(100),qgtse(100),qgts(200),qgtse(200),SeasonalNaive
ID164,smape,0.19540672,0.19654164,0.19136831,0.19704579,0.1821803,0.20031528,0.18683504,0.19324134,0.19742301,0.19882527,0.1901434,0.20267256,0.19764501,0.19699398,0.1924369,0.20011953,0.1925852,0.19854195,0.19588906,0.19484966,0.21347962
ID165,smape,0.01811306,0.017247021,0.012898632,0.011445286,0.017805073,0.019003544,0.015958,0.018523995,0.01812178,0.017080592,0.020395877,0.018176183,0.017531687,0.019266095,0.019734707,0.019580072,0.017816443,0.019747434,0.018277137,0.019715376,0.025524862
ID166,smape,0.1102945,0.10830652,0.10872629,0.11802881,0.1066311,0.108434886,0.1059384,0.10980953,0.10774015,0.10944615,0.10763489,0.108075485,0.10793672,0.108294815,0.110397965,0.10565123,0.10979328,0.10851358,0.111300156,0.10707233,0.107464366
ID167,smape,0.06650592,0.066568814,0.06712231,0.06409664,0.066503346,0.06760739,0.06534488,0.064616725,0.06486397,0.06559016,0.065583035,0.06499144,0.06575449,0.066537775,0.06535021,0.064479224,0.06577479,0.06487776,0.065202616,0.065427676,0.13343571
ID168,smape,0.0010007537,0.00073823385,0.0010877441,0.0021886504,0.0017923538,0.00090410677,0.0015325719,0.0012234045,0.0012635328,0.0010436155,0.0011722754,0.0011795415,0.0013561944,0.0015636442,0.0012983639,0.0013907929,0.0011747798,0.0010888561,0.0013050621,0.0011280819,0.00893911
ID17,smape,0.067161605,0.06582209,0.06503295,0.06803279,0.06831919,0.0657431,0.069935694,0.06899166,0.06836529,0.0680936,0.0677471,0.06876661,0.06839169,0.069284864,0.068201795,0.070345625,0.06830033,0.06852524,0.06819786,0.06761966,0.050800253
ID173,smape,0.018833509,0.019079646,0.01844964,0.03127721,0.01871076,0.018920898,0.022792807,0.018916078,0.018200044,0.018231671,0.018901791,0.017809113,0.018597366,0.018507062,0.018865356,0.018260157,0.01823024,0.018666724,0.018121894,0.017534167,0.019087933
ID174,smape,0.008296811,0.010125274,0.011120593,0.010036714,0.0086380085,0.00935989,0.008971063,0.009746752,0.00958031,0.009626814,0.009051027,0.01071703,0.009756135,0.0108555965,0.008873776,0.009004261,0.010764082,0.009387508,0.008796744,0.009404801,0.06427311
ID175,smape,0.07442693,0.07144823,0.0773406,0.06259519,0.07369836,0.07281465,0.06994735,0.071881875,0.073295996,0.07546195,0.07537098,0.08097632,0.07669338,0.07353121,0.07447949,0.07370977,0.07270837,0.07335177,0.07262259,0.076129705,0.088513516
ID176,smape,0.18380177,0.18198644,0.17615485,0.1897938,0.16452855,0.1936593,0.17617449,0.18172616,0.18431848,0.19105935,0.17516682,0.19065657,0.1806597,0.18814172,0.1827044,0.19213128,0.17808624,0.18953507,0.18568094,0.1875656,0.21189457
