unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID84,mase,3.404642,3.029285,2.8487823,4.5017066,5.478731,5.4030104,3.1260757,4.954745,2.247721,4.149903,3.1443882,5.712049,0.77499485
ID85,mase,0.47642148,0.54985166,0.46659327,0.46234685,0.49609601,0.6815152,0.51863563,0.6445806,0.58074164,0.80945057,0.51873124,0.41756117,0.46285254
ID86,mase,0.4088189,0.35384053,0.3455186,0.35880443,1.129227,0.49177992,0.64802045,0.37865493,0.26657858,0.45441097,0.779126,0.79555243,0.5144858
ID87,mase,0.9576661,2.4097536,2.3749347,1.7542264,2.953471,0.92134506,2.9021013,2.4038713,3.3074334,2.8191242,1.9614303,2.0189555,0.22081468
ID88,mase,1.923352,0.7719701,1.9970152,1.3421922,4.2012753,0.9941348,1.5638586,2.8737116,2.0264604,2.0304685,2.305119,0.44500777,0.74004424
ID89,mase,1.5902555,1.0573802,0.7387935,1.5438184,4.156214,1.2796935,1.7043514,1.9234189,2.433652,2.3950405,1.1352842,0.85182,1.5212287
ID9,mase,0.4834131,0.5024663,0.75025004,0.46101856,0.48155275,0.75647324,0.7739845,0.70400274,1.3327333,0.48774236,0.5385578,0.7829558,0.48102295
ID90,mase,0.7181067,0.9247337,1.0866091,1.2960554,0.98038167,0.8338777,0.5554652,0.5202702,0.53816974,1.6687101,0.6592127,1.1960757,2.049318
ID91,mase,1.5898736,0.2426148,0.33166033,0.41610992,1.8007067,0.4297762,0.9946342,0.56237626,1.1426588,1.5594345,1.0988255,0.35431606,1.8939593
ID92,mase,0.8944506,0.7495973,0.80829555,0.48271087,1.4763285,0.5230385,0.7336945,0.5276477,1.0972346,0.7544269,0.40765172,0.7348215,0.5817407
ID93,mase,1.0381525,0.58588433,2.4137852,1.113231,1.403344,0.74163514,0.7252861,0.7983933,0.67176735,2.015517,2.0497968,0.6826644,1.3564384
ID94,mase,0.92059267,1.4225706,1.5791328,1.0979849,1.4118053,1.1130704,0.75234336,1.8009641,1.8406401,0.82478476,1.3693812,1.2974548,0.7686974
ID95,mase,2.0720916,1.9594611,0.91004354,1.4422996,0.64320856,2.3048227,1.1246988,1.1547028,1.1620464,0.4891575,0.70667475,1.0401511,1.0350243
ID96,mase,3.1991458,3.5053487,3.2841263,3.4603374,4.0176797,2.170119,2.8772898,2.6581535,3.977562,3.9821663,2.5100756,2.2947762,1.706084
ID97,mase,0.5877309,0.5691371,0.77537775,0.4912821,1.1857177,0.5213257,0.42785802,0.6504497,0.99825895,1.1694702,0.7063071,0.40241554,0.39815575
ID98,mase,3.3377175,4.1362724,3.7535846,2.5917633,8.938887,4.9223237,5.098254,5.700393,3.2784812,4.7927384,4.4804673,3.3939736,0.6807398
ID99,mase,0.73775387,0.47128797,0.38037446,0.62069106,0.464981,0.7582742,0.97470737,0.469517,0.5563859,1.620714,0.55669564,1.2380018,1.3008499
ID0,smape,0.48555946,0.44543347,0.4535216,0.44298992,0.48482344,0.50209117,0.4563905,0.4922926,0.42470744,0.4377863,0.4549276,0.4193709,0.47445586
ID1,smape,0.056589875,0.07714133,0.073714465,0.044387612,0.0854212,0.063476644,0.05722457,0.057475712,0.062350076,0.05235449,0.0687181,0.041687086,0.035902444
ID10,smape,0.12612715,0.080142885,0.045468867,0.08654622,0.09859893,0.059743006,0.11312357,0.067957014,0.0634706,0.116597064,0.15149845,0.17222841,0.020242656
ID100,smape,0.07172056,0.043084264,0.02802355,0.052695494,0.10904369,0.10570646,0.08225629,0.08029679,0.06928746,0.05210514,0.069727935,0.05957215,0.033183083
ID101,smape,0.08378169,0.04215354,0.022839462,0.018873723,0.10516354,0.09909963,0.07855433,0.087046206,0.024189977,0.056703832,0.07567139,0.07166534,0.021524535
ID102,smape,0.04148255,0.024045179,0.0137699405,0.051533055,0.016968226,0.025551552,0.016629793,0.02996926,0.016602354,0.018964522,0.03983273,0.04090998,0.016577382
ID103,smape,0.05740446,0.070756994,0.06863394,0.091927685,0.056382883,0.07373851,0.07400337,0.09503746,0.06643299,0.065085776,0.07373264,0.06545115,0.07068504
ID104,smape,0.20559198,0.20932293,0.2319798,0.2101751,0.21727528,0.20909183,0.2250029,0.22208339,0.20211804,0.17472784,0.20448802,0.21192402,0.3255794
ID105,smape,0.07798573,0.11021262,0.07742241,0.094350345,0.1033988,0.07228671,0.073889084,0.116414286,0.09462688,0.15399039,0.06726847,0.06266088,0.05629629
ID106,smape,0.13064648,0.105244726,0.10535834,0.10664573,0.11698043,0.12883945,0.11529676,0.14173238,0.13027333,0.1046049,0.12157553,0.124907635,0.10990105
ID107,smape,0.048220064,0.07086873,0.047632918,0.04622096,0.110686176,0.04270622,0.048936874,0.05067386,0.047985543,0.10476434,0.06422037,0.039661504,0.073149785
ID108,smape,0.02810662,0.024779156,0.021376958,0.021024654,0.085487835,0.022955462,0.022608625,0.047275797,0.03230856,0.034488972,0.024804657,0.03248719,0.02382348
ID109,smape,0.06655998,0.04009531,0.024528956,0.029386705,0.061044693,0.030809468,0.018460302,0.051090803,0.042931184,0.013675466,0.057168562,0.036386784,0.02474125
ID11,smape,0.021919765,0.031309355,0.024465432,0.056780428,0.07185232,0.034964826,0.018974097,0.01565319,0.024937404,0.0442975,0.01849748,0.06801967,0.062003657
ID110,smape,0.04899688,0.031804457,0.046606477,0.023912719,0.047042195,0.030685263,0.033509124,0.046328407,0.03427547,0.031686246,0.035926208,0.05826017,0.029022152
ID111,smape,0.08774487,0.06180395,0.06357737,0.0973069,0.076209635,0.060240667,0.05729869,0.058650855,0.102386184,0.05064821,0.07475023,0.10215751,0.025573283
ID112,smape,0.06916059,0.07751424,0.08337096,0.082043566,0.044158403,0.13058655,0.10907307,0.10420609,0.04085018,0.051619645,0.083838485,0.10074213,0.034524154
ID113,smape,0.5506967,0.2468298,0.24253589,0.2887153,0.9269796,0.24263419,0.6999926,0.5051448,0.5525136,0.21783644,0.6285901,0.15784775,0.1596474
ID114,smape,0.17340596,0.18764383,0.2223894,0.10530124,0.20282118,0.16872396,0.22352405,0.22194713,0.15558401,0.20600052,0.16673832,0.17730612,0.11694953
ID115,smape,0.28860822,0.18662274,0.1595111,0.20531255,0.256546,0.17132513,0.15489565,0.18001777,0.28960207,0.17025004,0.22619338,0.23079257,0.14420296
