unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,qgts_10,qgtse_10,SeasonalNaive
Q622,smape,0.00989519932803479,0.010699416187364821,0.006663851318176439,0.0042772997960363515,0.0075127807317863764,0.002329297337362886,0.0036674897281162386,0.01146569776041969,0.008717789775507027,0.011270684275096388,0.009144534808648358,0.005369088369187449,0.020707819260288002
Q623,smape,0.018186817182676996,0.015868973201008663,0.01648729714397615,0.016468379548208414,0.018033675000978824,0.015266631026332274,0.016272943574800948,0.018970804131423533,0.016212870840490355,0.01710504167835384,0.016781671374473485,0.01723153744389682,0.01570683309581035
Q624,smape,0.005891465430128016,0.0071572576228246506,0.010322791463280578,0.007942435592180112,0.007454805885196956,0.006953801727408632,0.006955322150663368,0.005193382951612568,0.007542337026185404,0.007139157664944685,0.0056801036360264335,0.007066248946206509,0.012268061148982769
Q625,smape,0.013278209205116465,0.010692844017857663,0.011037715346257942,0.011184815815242236,0.021447069964241734,0.014898226207272639,0.013794776072721782,0.013112673399879392,0.013294003907418717,0.010936956304367921,0.012766472802537024,0.013164701543637383,0.008746287007554804
Q626,smape,0.023667437247171713,0.02157272733285416,0.0217824064041309,0.017618888073473424,0.014052014042194994,0.019538234359163617,0.021022265634024366,0.021232432690952208,0.02307143716469527,0.01967121725649506,0.021969578411626504,0.021051827942357264,0.009590407433482238
Q627,smape,0.063047697442913,0.05869170051207683,0.06119576489629415,0.05843313198473338,0.06970555671197212,0.06438447068432684,0.0552817632175491,0.062680698874521,0.05889277945478315,0.06789418036099937,0.06662366244953942,0.06555556500162255,0.0680232399138184
Q628,smape,0.0069543420752577086,0.008397921094799195,0.006580230815388681,0.007092372702366533,0.01940857111326906,0.009315128689223238,0.0101969118977356,0.007745576099548672,0.009259960431545325,0.008899873186177106,0.008208590475091187,0.009133103829631,0.059391684931081185
Q629,smape,0.17843720503793642,0.17632509113565395,0.17617545833254294,0.1811140793676238,0.1681535398560755,0.1749409479989627,0.17479980964090527,0.18151455738080952,0.17089127735739837,0.1804032018165076,0.17250692722680647,0.16663832930436812,0.17616986255870623
Q63,smape,0.11410027788234049,0.11295591549827515,0.1105339741593942,0.09928556024140006,0.10252303940366211,0.11331352568334932,0.09445662842508985,0.10965354437342065,0.11061704668591343,0.10571584660983374,0.11614246835890298,0.11142863889248913,0.05867028644239693
Q630,smape,0.15777585398893404,0.17013328327277832,0.07130851226326111,0.11374267102151794,0.1045342625017712,0.15878839098652459,0.2025485782289164,0.1658415679908103,0.1487761625608457,0.17603377292481978,0.1997980376896061,0.181232042934333,0.11165238720541357
Q631,smape,0.1496303630890355,0.14030011244632695,0.18242912071759732,0.1558586248748213,0.13964234524886746,0.18747446000406853,0.20768371460162324,0.13702915803125507,0.1356144912914778,0.12435897217029163,0.1611070877838661,0.1429468776192313,0.19291581259587906
Q632,smape,0.12113817413338147,0.12095221869754579,0.12008239615463004,0.12983086721354192,0.11257010193393324,0.1181755372991137,0.12664562402360008,0.12765849301193757,0.11983037152260893,0.12285894344104156,0.12212066160410388,0.11992923958067528,0.11445050275767768
Q633,smape,0.3817779258233257,0.35020755818238025,0.3458777581978171,0.3609649520739314,0.36658771921524985,0.40280762223201716,0.4019385594034855,0.4095783679872678,0.3377475843966672,0.40986277517941555,0.3985682664690679,0.3727829888080682,0.3101233471055753
Q634,smape,0.19515686250841677,0.20796338073419884,0.21411244878591681,0.21954519037170522,0.20171452500212186,0.21726651229458563,0.24279442060824846,0.2017908179281645,0.23352523376402862,0.25676554570985916,0.1817127866739025,0.2165820249256983,0.21728222785154508
